property_id,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type
396,House,Shared room,1,1,1,1,Real Bed
397,House,Entire home/apt,6,1,2,4,Real Bed
398,House,Private room,2,1,1,1,Real Bed
399,House,Private room,3,1,1,2,Real Bed
400,House,Private room,2,2.5,1,1,Real Bed
401,House,Private room,2,1,1,2,Real Bed
402,House,Entire home/apt,6,1,2,2,Real Bed
403,House,Entire home/apt,4,1,2,2,Real Bed
404,House,Private room,2,1,1,1,Real Bed
405,House,Shared room,1,1,1,1,Real Bed
406,House,Entire home/apt,7,2,3,5,Real Bed
407,House,Entire home/apt,2,1,0,1,Real Bed
408,House,Private room,2,1,1,1,Real Bed
409,House,Entire home/apt,4,1,1,1,Real Bed
410,House,Entire home/apt,8,3,3,3,Real Bed
411,Loft,Entire home/apt,3,1,0,2,Real Bed
412,House,Private room,2,1,1,1,Real Bed
413,House,Entire home/apt,4,1,2,2,Real Bed
414,Apartment,Entire home/apt,2,1,1,1,Real Bed
415,House,Private room,3,1,1,2,Real Bed
416,House,Private room,3,1,1,2,Real Bed
417,Apartment,Private room,2,1,1,2,Real Bed
418,House,Entire home/apt,5,2.5,2,3,Real Bed
419,Apartment,Entire home/apt,4,1,1,1,Real Bed
420,Apartment,Entire home/apt,2,1,1,1,Real Bed
421,House,Entire home/apt,8,2,3,3,Real Bed
422,House,Shared room,1,1,1,1,Real Bed
423,House,Entire home/apt,5,1,2,2,Real Bed
424,House,Entire home/apt,8,2.5,3,3,Airbed
425,House,Private room,2,1.5,1,1,Real Bed
426,House,Entire home/apt,4,1,1,2,Real Bed
427,House,Private room,2,1,1,1,Real Bed
428,House,Private room,2,1,1,1,Real Bed
429,Bungalow,Entire home/apt,2,1,0,1,Real Bed
430,House,Entire home/apt,3,1,0,1,Real Bed
431,Apartment,Entire home/apt,6,1,1,6,Real Bed
432,Apartment,Shared room,2,1,1,1,Couch
433,House,Entire home/apt,12,3,6,6,Real Bed
434,Apartment,Private room,2,1,1,1,Real Bed
435,House,Entire home/apt,6,1,2,2,Real Bed
436,House,Shared room,1,1,1,1,Real Bed
437,House,Entire home/apt,2,1,1,2,Real Bed
438,House,Private room,2,1,1,1,Real Bed
439,Apartment,Entire home/apt,2,1,1,1,Real Bed
440,House,Private room,2,2,1,1,Real Bed
441,House,Private room,2,1,1,1,Real Bed
442,House,Entire home/apt,8,1,4,3,Real Bed
443,Apartment,Entire home/apt,5,1,2,3,Real Bed
444,House,Private room,2,1,1,1,Real Bed
445,Apartment,Entire home/apt,4,1,0,2,Real Bed
446,House,Private room,2,2,1,1,Real Bed
447,Apartment,Entire home/apt,3,1,1,1,Real Bed
448,House,Entire home/apt,4,2,3,3,Real Bed
449,House,Private room,4,1,1,2,Real Bed
450,House,Private room,2,1,1,1,Real Bed
451,Apartment,Private room,2,1,1,1,Real Bed
452,House,Private room,2,1,1,1,Real Bed
